Subject_Mu,centerPsySigma20,centerCSDSigma20,centerPsySigma100,centerCSDSigma100,peripheryPsySigma20,peripheryCSDSigma20,peripheryPsySigma100,peripheryCSDSigma100
1,0.470885151,0.484309693,0.520021283,0.511443077,0.769124678,0.561320121,0.510881616,0.4624106
2,0.466802868,0.347946673,0.481579495,0.379464191,0.246217611,0.307026464,0.419703169,0.395909233
3,0.144282519,0.345415605,0.230087315,0.308364463,0.197316725,0.210689994,0.276879895,0.251414122
4,0.004790706,0.004790706,0.476264519,0.418929764,0.521025851,0.340985483,0.643940612,0.735180857
5,0.041281343,0.041281343,0.347371759,0.452895574,0.571975521,0.386727808,0.606876807,0.548531212
6,0.457865955,0.50333849,0.328300947,0.389682406,0.487087572,0.430602692,0.302813383,0.32451328
7,0.498693821,0.695067528,0.16812406,0.16812406,0.595171233,0.766447712,0.698849023,0.869057443
8,0.823702879,0.680593298,0.413750258,0.638264353,1.214855167,1.093182248,0.897852006,0.926392968
9,0.250585803,0.440261756,0.202166864,0.309937183,0.00722837,0.00722837,0.249849498,0.239661331
10,0.002446928,0.002446928,0.138136075,0.135541554,0.389170115,0.182232137,0.153967315,0.187932607
11,1.070752534,1.133622902,0.944054363,1.023575638,1.908236211,2.269456264,1.368891847,1.563720762
12,0.010075166,0.010075166,0.155233225,0.407327347,0.218626749,0.218626749,0.283770738,0.376111949
13,0.28002456,0.687587337,0.697947394,0.830510516,0.370573955,0.517480741,1.982812213,2.286367422
14,0.531545592,0.459467929,0.342248605,0.420410143,0.651241775,0.710174005,0.348831629,0.535697966
15,0.142338359,0.195133672,0.1755405,0.229172573,0.155944551,0.262433123,0.138875389,0.200675997
16,0.004658224,0.004658224,0.502718586,0.699365546,0.37653562,0.423759876,0.334551823,0.388781066
17,0.348806833,0.286769097,0.37276598,0.36792454,0.339299779,0.352107343,0.350021009,0.381696496
18,0.573464263,0.50844379,0.376817108,0.507016872,0.009779653,0.009779653,0.241714504,0.434474294
19,0.506047068,0.512630002,0.352888504,0.366965135,2.161673981,3.398016407,0.90087536,1.036091183
20,0.013876788,0.013876788,0.186002385,0.200327042,0.026171086,0.207086174,0.287731618,0.237184457
21,0.31808619,0.179322317,0.35493048,0.337616991,0.094868048,0.094868048,0.441557025,0.572647645
22,0.019117727,0.151147386,0.195514217,0.241514048,0.240200944,0.169029736,0.210677665,0.243132505
23,0.270818901,0.270818901,1.158489935,1.324666757,0.910585117,1.031925827,1.188483214,1.29835684
24,0.006690706,0.006690706,0.190559171,0.271202164,0.004734198,0.004734198,0.335220236,0.413967195
25,0.831108296,0.557076144,0.136063226,0.46644013,0.325691217,0.308784447,0.248374691,0.331455207
